iri,label,definition_original,definition_enriched
https://www.commoncoreontologies.org/ont00001042,Equipment Mount,A Material Artifact that is designed to support an Artifact.,Equipment Mount is a Material Artifact that is designed to support an Artifact.
https://www.commoncoreontologies.org/ont00000841,Explosive Artifact Function,A Damaging Artifact Function that is realized in a process in which the structural integrity of an entity is impaired because of the rapid increase in volume and release of energy in an extreme manner.,Explosive Artifact Function is a Damaging Artifact Function that is realized in a process in which the structural integrity of an entity is impaired because of the rapid increase in volume and release of energy in an extreme manner.
https://www.commoncoreontologies.org/ont00000734,Explosive Land Mine,An Explosive Mine that is designed to be concealed under or on the ground.,Explosive Land Mine is an Explosive Mine that is designed to be concealed under or on the ground.
https://www.commoncoreontologies.org/ont00002066,Explosive Mine,An Explosive Weapon that is designed to be concealed and to detonate as its target passes near it.,Explosive Mine is an Explosive Weapon that is designed to be concealed and to detonate as its target passes near it.
https://www.commoncoreontologies.org/ont00002067,Explosive Naval Mine,An Explosive Mine that is designed to be concealed on or under water.,Explosive Naval Mine is an Explosive Mine that is designed to be concealed on or under water.
https://www.commoncoreontologies.org/ont00000552,Explosive Weapon,"A Weapon that is designed to inflict harm, damage, or incapacity by means of a violent release of energy caused by the exothermic reaction of an explosive material.","Explosive Weapon is a Weapon that is designed to inflict harm, damage, or incapacity by means of a violent release of energy caused by the exothermic reaction of an explosive material."
https://www.commoncoreontologies.org/ont00000431,External Combustion Engine,"A Combustion Engine that is designed to have an external Combustion Chamber where portions of Fuel and Oxidizer mixture are burned to generate thermal energy to heat the working fluid, which transfers energy to the Engine where it is converted into mechanical energy.","External Combustion Engine is a Combustion Engine that is designed to have an external Combustion Chamber where portions of Fuel and Oxidizer mixture are burned to generate thermal energy to heat the working fluid, which transfers energy to the Engine where it is converted into mechanical energy."
https://www.commoncoreontologies.org/ont00000681,External Navigation Lighting System,"A Lighting System that is designed to be attached to some Vehicle and to emit colored light in order to signal that Vehicle's position, heading, and status.","External Navigation Lighting System is a Lighting System that is designed to be attached to some Vehicle and to emit colored light in order to signal that Vehicle's position, heading, and status."
https://www.commoncoreontologies.org/ont00000192,Facility,A Material Artifact that is designed as a building or campus dedicated to some specific purpose.,Facility is a Material Artifact that is designed as a building or campus dedicated to some specific purpose.
https://www.commoncoreontologies.org/ont00000338,Fan,A Fluid Control Artifact that consists of a rotating arrangement of vanes or blades that are designed to act on a portion of fluid to create flow within it.,Fan is a Fluid Control Artifact that consists of a rotating arrangement of vanes or blades that are designed to act on a portion of fluid to create flow within it.
https://www.commoncoreontologies.org/ont00001372,Fertilizer Artifact Function,An Enhancing Artifact Function that is realized in processes of supplying soilds or plant tissues with one or more plant nutrients essential to growth.,Fertilizer Artifact Function is an Enhancing Artifact Function that is realized in processes of supplying soilds or plant tissues with one or more plant nutrients essential to growth.
https://www.commoncoreontologies.org/ont00000348,Filter,A Material Artifact that bears a Filter Function.,Filter is a Material Artifact that bears a Filter Function.
https://www.commoncoreontologies.org/ont00001999,Filter Function,An Artifact Function that is realized in a process where entities of a specific type or which have specified properties enter it or pass through it.,Filter Function is an Artifact Function that is realized in a process where entities of a specific type or which have specified properties enter it or pass through it.
https://www.commoncoreontologies.org/ont00000311,Filtration Artifact Function,A Filter Function that is realized in a process in which some solid entity is prevented from moving along with some quantity of liquid.,Filtration Artifact Function is a Filter Function that is realized in a process in which some solid entity is prevented from moving along with some quantity of liquid.
https://www.commoncoreontologies.org/ont00000938,Financial Artifact Function,A Service Artifact Function that is realized in processes of managing money.,Financial Artifact Function is a Service Artifact Function that is realized in processes of managing money.
https://www.commoncoreontologies.org/ont00000537,Financial Instrument,A Material Artifact that is designed to be a tradeable asset and that is legally sanctioned.,Financial Instrument is a Material Artifact that is designed to be a tradeable asset and that is legally sanctioned.
https://www.commoncoreontologies.org/ont00000088,Firearm,A Projectile Launcher that is designed to launch Bullets or Cartridges.,Firearm is a Projectile Launcher that is designed to launch Bullets or Cartridges.
https://www.commoncoreontologies.org/ont00000147,Flight Transponder,"A Radio Transponder that is designed to produce a specified response (typically for identification, location, or status update purposes) when it receives a radio-frequency interrogation.","Flight Transponder is a Radio Transponder that is designed to produce a specified response (typically for identification, location, or status update purposes) when it receives a radio-frequency interrogation."
https://www.commoncoreontologies.org/ont00000047,Flow Control Valve,A Valve that is designed to regulate the flow or Pressure of a fluid.,Flow Control Valve is a Valve that is designed to regulate the flow or Pressure of a fluid.
https://www.commoncoreontologies.org/ont00000256,Fluid Control Artifact,A Material Artifact that is designed to manipulate the flow of a fluid (i.e. a liquid or a gas).,Fluid Control Artifact is a Material Artifact that is designed to manipulate the flow of a fluid (i.e. a liquid or a gas).
https://www.commoncoreontologies.org/ont00001070,Fluid Control Artifact Function,An Artifact Function that is realized in processes in which some Artifact is used to control the direction or flow of some fluid.,Fluid Control Artifact Function is an Artifact Function that is realized in processes in which some Artifact is used to control the direction or flow of some fluid.
https://www.commoncoreontologies.org/ont00001140,Flywheel,A Material Artifact that is designed to store rotational energy such that it has a significant moment of inertia which enables it to resist changes in rotational speed.,Flywheel is a Material Artifact that is designed to store rotational energy such that it has a significant moment of inertia which enables it to resist changes in rotational speed.
https://www.commoncoreontologies.org/ont00000244,Fragmentation Artifact Function,A Damaging Artifact Function that is realized in a process in which the structural integrity of an entity is impaired because of a detonation which causes fragmentation.,Fragmentation Artifact Function is a Damaging Artifact Function that is realized in a process in which the structural integrity of an entity is impaired because of a detonation which causes fragmentation.
https://www.commoncoreontologies.org/ont00000183,Fragrance Artifact Function,An Artifact Function that is realized in processes of emitting a pleasant or sweet odor.,Fragrance Artifact Function is an Artifact Function that is realized in processes of emitting a pleasant or sweet odor.
https://www.commoncoreontologies.org/ont00001355,Freight Train Car,A Train Car that is designed to transport cargo.,Freight Train Car is a Train Car that is designed to transport cargo.
https://www.commoncoreontologies.org/ont00000062,Frequency Measurement Artifact Function,A Measurement Artifact Function that is realized during events in which an Artifact is used to measure the Frequency of a specified object or class of objects.,Frequency Measurement Artifact Function is a Measurement Artifact Function that is realized during events in which an Artifact is used to measure the Frequency of a specified object or class of objects.
https://www.commoncoreontologies.org/ont00000206,Friction Reduction Artifact Function,An Artifact Function that is realized in processes of reducing the force resisting the relative motion of surfaces in contact.,Friction Reduction Artifact Function is an Artifact Function that is realized in processes of reducing the force resisting the relative motion of surfaces in contact.
https://www.commoncoreontologies.org/ont00001253,Fuel Artifact Function,An Artifact Function that is realized in processes in which a Portion of Fuel is reacted with other substances in order to release chemical or nuclear energy to be used for heat or for work.,Fuel Artifact Function is an Artifact Function that is realized in processes in which a Portion of Fuel is reacted with other substances in order to release chemical or nuclear energy to be used for heat or for work.
https://www.commoncoreontologies.org/ont00000477,Fuel Cell,"An Electrical Power Source that consists in part of an anode, a cathode, and an electrolyte; converts chemical energy from a fuel into electricity through a chemical reaction of positively charged hydrogen ions with an oxidizing agent (typically oxygen); and, if given a continuous source of fuel and oxidizing agent, can continuously produce electricity.","Fuel Cell is an Electrical Power Source that consists in part of an anode, a cathode, and an electrolyte; converts chemical energy from a fuel into electricity through a chemical reaction of positively charged hydrogen ions with an oxidizing agent (typically oxygen); and, if given a continuous source of fuel and oxidizing agent, can continuously produce electricity."
https://www.commoncoreontologies.org/ont00001060,Fuel System,"A Material Artifact that is designed to pump, manage, and deliver some Portion of Fuel to the Propulsion System and Auxiliary Power Unit of some Vehicle.","Fuel System is a Material Artifact that is designed to pump, manage, and deliver some Portion of Fuel to the Propulsion System and Auxiliary Power Unit of some Vehicle."
https://www.commoncoreontologies.org/ont00000691,Fuel Tank,A Container that is designed to store a Portion of Fuel.,Fuel Tank is a Container that is designed to store a Portion of Fuel.
https://www.commoncoreontologies.org/ont00000963,Fuel Transfer System,A Fluid Control Artifact that is designed to facilitate the transfer of some Portion of Fuel from the Fuel Tank for use in some Engine.,Fuel Transfer System is a Fluid Control Artifact that is designed to facilitate the transfer of some Portion of Fuel from the Fuel Tank for use in some Engine.
https://www.commoncoreontologies.org/ont00000793,Fuel Ventilation System,A Fluid Control Artifact that is designed to allow air into the Fuel Tank to take the place of burned fuel.,Fuel Ventilation System is a Fluid Control Artifact that is designed to allow air into the Fuel Tank to take the place of burned fuel.
https://www.commoncoreontologies.org/ont00001034,Full Motion Video Camera,A Video Camera that is designed to capture and record images of sufficiently high quality and in rapid enough succession that the resulting video supports smooth playback.,Full Motion Video Camera is a Video Camera that is designed to capture and record images of sufficiently high quality and in rapid enough succession that the resulting video supports smooth playback.
https://www.commoncoreontologies.org/ont00001155,Full Motion Video Imaging Artifact Function,An Imaging Artifact Function that inheres in Artifacts that are designed to produce video of entities that is of high enough quality to make the represented motion appear continuous to human viewers.,Full Motion Video Imaging Artifact Function is an Imaging Artifact Function that inheres in Artifacts that are designed to produce video of entities that is of high enough quality to make the represented motion appear continuous to human viewers.
https://www.commoncoreontologies.org/ont00000762,Fungicide Artifact Function,"An Anti-Microbial Artifact Function that is realized in a process which causes harm to, or the death of, some fungus or fungal spore.","Fungicide Artifact Function is an Anti-Microbial Artifact Function that is realized in a process which causes harm to, or the death of, some fungus or fungal spore."
https://www.commoncoreontologies.org/ont00000526,Gamma-ray Telescope,A Telescope that is designed to aid in the observation of spatially distant Objects by means of collecting and focusing Gamma-rays to form an enhanced image of the Object.,Gamma-ray Telescope is a Telescope that is designed to aid in the observation of spatially distant Objects by means of collecting and focusing Gamma-rays to form an enhanced image of the Object.
https://www.commoncoreontologies.org/ont00000333,Gas Turbine,"An Internal Combustion Engine that has a rotating compressor and a turbine and is designed to operate utilizing continous Combustion to produce Thrust, either directly via exhaust or indirectly via a prop.","Gas Turbine is an Internal Combustion Engine that has a rotating compressor and a turbine and is designed to operate utilizing continous Combustion to produce Thrust, either directly via exhaust or indirectly via a prop."
https://www.commoncoreontologies.org/ont00000153,Generator Control Unit,A Control System that is designed to regulate the voltage of some Electrical Power Source.,Generator Control Unit is a Control System that is designed to regulate the voltage of some Electrical Power Source.
https://www.commoncoreontologies.org/ont00001316,Gimbal,An Equipment Mount that consists of a pivoted support that allows an Artifact to Rotate about one or more Axes.,Gimbal is an Equipment Mount that consists of a pivoted support that allows an Artifact to Rotate about one or more Axes.
https://www.commoncoreontologies.org/ont00000661,Government Artifact Function,A Service Artifact Function that is realized in processes in which public policy is administered and the actions of its members are directed.,Government Artifact Function is a Service Artifact Function that is realized in processes in which public policy is administered and the actions of its members are directed.
https://www.commoncoreontologies.org/ont00000310,Grenade,An Explosive Weapon that is designed to be relatively small and to be thrown by hand.,Grenade is an Explosive Weapon that is designed to be relatively small and to be thrown by hand.
https://www.commoncoreontologies.org/ont00000053,Ground Motor Vehicle,A Ground Vehicle that is designed to receive its motive power from an Engine and is not designed to travel on rails.,Ground Motor Vehicle is a Ground Vehicle that is designed to receive its motive power from an Engine and is not designed to travel on rails.
https://www.commoncoreontologies.org/ont00000650,Ground Moving Target Indication Artifact Function,A Moving Target Indication Artifact Function that inheres in Artifacts that are designed to identify and track entities moving on or near the ground.,Ground Moving Target Indication Artifact Function is a Moving Target Indication Artifact Function that inheres in Artifacts that are designed to identify and track entities moving on or near the ground.
https://www.commoncoreontologies.org/ont00000618,Ground Vehicle,"A Vehicle that is designed to convey passengers, cargo, or equipment from one location to another by some form of ground travel.","Ground Vehicle is a Vehicle that is designed to convey passengers, cargo, or equipment from one location to another by some form of ground travel."
https://www.commoncoreontologies.org/ont00000156,Hand Gun,A Firearm that is designed to have a relatively short barrel and to be held in one or two hands and to be fired without being braced against the shoulder.,Hand Gun is a Firearm that is designed to have a relatively short barrel and to be held in one or two hands and to be fired without being braced against the shoulder.
https://www.commoncoreontologies.org/ont00001361,Healing Artifact Function,"An Artifact Function that is realized in a process in which health is restored to an unbalanced, diseased, or damaged organism.","Healing Artifact Function is an Artifact Function that is realized in a process in which health is restored to an unbalanced, diseased, or damaged organism."
https://www.commoncoreontologies.org/ont00000309,Healthcare Artifact Function,A Service Artifact Function that is realized in processes of treating and preventing illness.,Healthcare Artifact Function is a Service Artifact Function that is realized in processes of treating and preventing illness.
https://www.commoncoreontologies.org/ont00000266,Hearing Aid,A Medical Artifact that is designed to improve hearing for its user.,Hearing Aid is a Medical Artifact that is designed to improve hearing for its user.
https://www.commoncoreontologies.org/ont00000638,Heat Engine,An Engine that is designed to convert thermal energy into mechanical energy.,Heat Engine is an Engine that is designed to convert thermal energy into mechanical energy.
https://www.commoncoreontologies.org/ont00000243,Heat Sink,A Material Artifact that is designed to regulate the temperature of a computer by the passive transfer of heat away from other components in the computer.,A Material Artifact that is designed to passively dissipate heat from components or systems in order to control temperature.
https://www.commoncoreontologies.org/ont00001013,Heating Artifact Function,An Artifact Function that is realized in a process in which the thermal energy of a system increases.,Heating Artifact Function is an Artifact Function that is realized in a process in which the thermal energy of a system increases.
https://www.commoncoreontologies.org/ont00000849,Heating System,An Environment Control System that is designed to heat the air or objects in a Site.,Heating System is an Environment Control System that is designed to heat the air or objects in a Site.
https://www.commoncoreontologies.org/ont00001077,Heavy Machine Gun,"A Mounted Gun that is designed to fire ammunition greater than .50 caliber or 12.7mm ammunition in quick succession from an ammunition belt, and which typically weighs more than 30lbs.","Heavy Machine Gun is a Mounted Gun that is designed to fire ammunition greater than .50 caliber or 12.7mm ammunition in quick succession from an ammunition belt, and which typically weighs more than 30lbs."
https://www.commoncoreontologies.org/ont00001054,Helical Antenna,A Wire Antenna that consists of a conducting wire wound in the form of a helix that is typically mounted over a ground plane with a feed line connected between the bottom of the helix and the ground plane.,Helical Antenna is a Wire Antenna that consists of a conducting wire wound in the form of a helix that is typically mounted over a ground plane with a feed line connected between the bottom of the helix and the ground plane.
https://www.commoncoreontologies.org/ont00000831,Herbicide Artifact Function,"A Pesticide Artifact Function that is realized in a process which causes harm to, or the death to, unwanted plants.","Herbicide Artifact Function is a Pesticide Artifact Function that is realized in a process which causes harm to, or the death to, unwanted plants."
https://www.commoncoreontologies.org/ont00000888,High Frequency Communication Instrument,A Radio Communication Instrument that is designed to participate in some process that has process part some High Frequency.,A Radio Communication Instrument that is designed to transmit and/or receive radio signals in the high-frequency (HF) band.
https://www.commoncoreontologies.org/ont00000646,Highway,A Road that is designed to enable Ground Vehicles to travel between relatively major destinations.,Highway is a Road that is designed to enable Ground Vehicles to travel between relatively major destinations.
https://www.commoncoreontologies.org/ont00000956,Highway Interchange,A Road Junction that is designed to enable Ground Vehicles to exit one or more Highways and enter another Highway without directly crossing any other traffic stream.,Highway Interchange is a Road Junction that is designed to enable Ground Vehicles to exit one or more Highways and enter another Highway without directly crossing any other traffic stream.
https://www.commoncoreontologies.org/ont00000306,Hinge,A Machine Bearing that is designed to limit the angle of Rotation between two solid objects.,Hinge is a Machine Bearing that is designed to limit the angle of Rotation between two solid objects.
https://www.commoncoreontologies.org/ont00000714,Horn Antenna,"A Radio Antenna that consists of a flaring metal waveguide shaped like a horn to direct radio waves in a beam and can be used on its own or as a feeder for larger antenna structures, such as Parabolic Antennas.","Horn Antenna is a Radio Antenna that consists of a flaring metal waveguide shaped like a horn to direct radio waves in a beam and can be used on its own or as a feeder for larger antenna structures, such as Parabolic Antennas."
https://www.commoncoreontologies.org/ont00001378,Hospitality Artifact Function,A Service Artifact Function that is realized in processes of accommodation food and beverage meeting and events gaming entertainment and recreation tourism services and visitor information.,Hospitality Artifact Function is a Service Artifact Function that is realized in processes of accommodation food and beverage meeting and events gaming entertainment and recreation tourism services and visitor information.
https://www.commoncoreontologies.org/ont00001270,Howitzer,A Cannon that is designed to have a relatively short barrel and to use relatively small propellant charges to propel projectiles in relatively high trajectories with a steep angle of descent.,Howitzer is a Cannon that is designed to have a relatively short barrel and to use relatively small propellant charges to propel projectiles in relatively high trajectories with a steep angle of descent.
https://www.commoncoreontologies.org/ont00000264,Hydraulic Fluid Reservoir,A Container that is designed to store some hydraulic fluid for use in some Hyrdraulic Power Source.,Hydraulic Fluid Reservoir is a Container that is designed to store some hydraulic fluid for use in some Hyrdraulic Power Source.
https://www.commoncoreontologies.org/ont00000777,Hydraulic Motor,A Physically Powered Engine that converts hydraulic pressure and flow into torque and angular displacement.,Hydraulic Motor is a Physically Powered Engine that converts hydraulic pressure and flow into torque and angular displacement.
https://www.commoncoreontologies.org/ont00001157,Hydraulic Power Source,"A Power Source that is designed to generate, control, or transmit power by means of pressurized liquid.","Hydraulic Power Source is a Power Source that is designed to generate, control, or transmit power by means of pressurized liquid."
https://www.commoncoreontologies.org/ont00000730,Hydraulic Power Transfer Unit,A Material Artifact that is designed to transfer hydraulic power from one of an Aircraft's hydraulic systems to another in the event that a system has failed or been turned off.,"A Material Artifact that is designed to transfer hydraulic power between hydraulic systems; in aircraft, it can transfer power between independent systems when one has failed or is offline."
https://www.commoncoreontologies.org/ont00001282,Hydraulic Valve,"A Valve that is designed to regulate, direct, or control the flow of a liquid by opening, closing, or partially obstructing various passageways.","Hydraulic Valve is a Valve that is designed to regulate, direct, or control the flow of a liquid by opening, closing, or partially obstructing various passageways."
https://www.commoncoreontologies.org/ont00000878,Identification Friend or Foe Transponder,A Radio Transponder that is designed to automatically transmit a predefined signal in response to receiving an appropriate interrogation signal such that the entity it is located on can be positively identified as friendly.,Identification Friend or Foe Transponder is a Radio Transponder that is designed to automatically transmit a predefined signal in response to receiving an appropriate interrogation signal such that the entity it is located on can be positively identified as friendly.
https://www.commoncoreontologies.org/ont00000742,Ignition System,A Material Artifact that is designed to produce an Ignition process.,Ignition System is a Material Artifact that is designed to produce an Ignition process.
https://www.commoncoreontologies.org/ont00000601,Imaging Artifact Function,An Artifact Function that inheres in Artifacts that are designed to produce visual representations of entities.,Imaging Artifact Function is an Artifact Function that inheres in Artifacts that are designed to produce visual representations of entities.
https://www.commoncoreontologies.org/ont00000771,Imaging Instrument,A Material Artifact that is designed to produce images (visual representations) of an entity.,Imaging Instrument is a Material Artifact that is designed to produce images (visual representations) of an entity.
https://www.commoncoreontologies.org/ont00000623,Impact Shielding Artifact Function,An Artifact Function that is realized during events in which an Artifact reduces the damage caused to the shielded object by an impact with another object.,Impact Shielding Artifact Function is an Artifact Function that is realized during events in which an Artifact reduces the damage caused to the shielded object by an impact with another object.
https://www.commoncoreontologies.org/ont00000858,Improvised Explosive Device,An Explosive Weapon that is designed to be used in non-conventional military action.,Improvised Explosive Device is an Explosive Weapon that is designed to be used in non-conventional military action.
https://www.commoncoreontologies.org/ont00000145,Incendiary Weapon,"A Weapon that is designed to inflict harm, damage, or incapacity by means of starting a fire.","Incendiary Weapon is a Weapon that is designed to inflict harm, damage, or incapacity by means of starting a fire."
https://www.commoncoreontologies.org/ont00000287,Inertial Navigation System,"A Navigation System that is designed to continuously calculate via dead reckoning the position, orientation, and velocity of a moving object without the need for external references.","Inertial Navigation System is a Navigation System that is designed to continuously calculate via dead reckoning the position, orientation, and velocity of a moving object without the need for external references."
https://www.commoncoreontologies.org/ont00001342,Infantry Fighting Vehicle,An Armored Fighting Vehicle that is designed to carry infantry into battle and to provide fire support for them.,Infantry Fighting Vehicle is an Armored Fighting Vehicle that is designed to carry infantry into battle and to provide fire support for them.
https://www.commoncoreontologies.org/ont00000798,Information Bearing Artifact,A Material Artifact that carries an Information Content Entity and is designed to do so using a particular format or structure.,Information Bearing Artifact is a Material Artifact that carries an Information Content Entity and is designed to do so using a particular format or structure.
https://www.commoncoreontologies.org/ont00000253,Information Bearing Entity,An Object upon which an Information Content Entity generically depends.,Information Bearing Entity is an Object upon that an Information Content Entity generically depends.
https://www.commoncoreontologies.org/ont00000958,Information Content Entity,A Generically Dependent Continuant that generically depends on some Information Bearing Entity and stands in relation of aboutness to some Entity.,Information Content Entity is a Generically Dependent Continuant that generically depends on some Information Bearing Entity and stands in relation of aboutness to some Entity.
https://www.commoncoreontologies.org/ont00000893,Information Medium Artifact,A Material Artifact that is designed to have some Information Bearing Artifact as part.,Information Medium Artifact is a Material Artifact that is designed to have some Information Bearing Artifact as part.
https://www.commoncoreontologies.org/ont00000117,Information Processing Artifact,A Material Artifact that is designed to use algorithms to transform some Information Content Entity into another Information Content Entity.,Information Processing Artifact is a Material Artifact that is designed to use algorithms to transform some Information Content Entity into another Information Content Entity.
https://www.commoncoreontologies.org/ont00000617,Infrared Camera,A Camera that is designed to form and record an image generated from infrared radiation.,Infrared Camera is a Camera that is designed to form and record an image generated from infrared radiation.
https://www.commoncoreontologies.org/ont00000090,Infrared Telescope,A Telescope that is designed to aid in the observation of spatially distant Objects by means of collecting and focusing infrared light to form an enhanced image of the Object.,Infrared Telescope is a Telescope that is designed to aid in the observation of spatially distant Objects by means of collecting and focusing infrared light to form an enhanced image of the Object.
https://www.commoncoreontologies.org/ont00000627,Infrastructure Element,A Material Entity that bears an Infrastructure Role.,Infrastructure Element is a Material Entity that bears an Infrastructure Role.
https://www.commoncoreontologies.org/ont00001141,Infrastructure Role,A Role that inheres in the bearer of a Disposition and has been assigned to an Infrastructure System such that the realization of that Disposition is sometimes part of the functioning of the Infrastructure System.,Infrastructure Role is a Role that inheres in the bearer of a Disposition and has been assigned to an Infrastructure System such that the realization of that Disposition is sometimes part of the functioning of the Infrastructure System.
https://www.commoncoreontologies.org/ont00000870,Infrastructure System,A Material Entity that is composed of elements bearing Infrastructure Roles and is by itself sufficient to provide a planned service or benefit to some organization that maintains its elements.,Infrastructure System is a Material Entity that is composed of elements bearing Infrastructure Roles and is by itself sufficient to provide a planned service or benefit to some organization that maintains its elements.
https://www.commoncoreontologies.org/ont00000937,Inhibiting Motion Artifact Function,An Artifact Function that is realized by processes in which some Artifact is used to inhibit the motion of some object.,Inhibiting Motion Artifact Function is an Artifact Function that is realized by processes in which some Artifact is used to inhibit the motion of some object.
https://www.commoncoreontologies.org/ont00001255,Insecticide Artifact Function,"A Pesticide Artifact Function that is realized in a process that causes harm to, or the death of, an insect.","Insecticide Artifact Function is a Pesticide Artifact Function that is realized in a process that causes harm to, or the death of, an insect."
https://www.commoncoreontologies.org/ont00000303,Intercommunication System,"A Communication System that is designed to enable some Act of Communication between end points within a building, small collection of buildings, or within a small area of service.","Intercommunication System is a Communication System that is designed to enable some Act of Communication between end points within a building, small collection of buildings, or within a small area of service."
https://www.commoncoreontologies.org/ont00001250,Interior Lighting System,A Lighting System that is designed to emit light within the interior of some area.,Interior Lighting System is a Lighting System that is designed to emit light within the interior of some area.
https://www.commoncoreontologies.org/ont00000394,Internal Combustion Engine,A Combustion Engine that is designed to have an internal Combustion Chamber where portions of Fuel and Oxidizer mixture are burned to generate thermal energy that is then converted into mechanical energy.,Internal Combustion Engine is a Combustion Engine that is designed to have an internal Combustion Chamber where portions of Fuel and Oxidizer mixture are burned to generate thermal energy that is then converted into mechanical energy.
https://www.commoncoreontologies.org/ont00000334,Interphone,An Intercommunication System that that is designed to facilitate some Act of Communication between agents by means of audio messages.,Interphone is an Intercommunication System that that is designed to facilitate some Act of Communication between agents by means of audio messages.
https://www.commoncoreontologies.org/ont00000533,Jet Engine,A Reaction Engine that discharges a fast moving jet that generates Thrust by jet propulsion.,Jet Engine is a Reaction Engine that discharges a fast moving jet that generates Thrust by jet propulsion.
https://www.commoncoreontologies.org/ont00001326,Land Transportation Artifact,A Transportation Artifact that facilitates the movement of Agents and Vehicles via land,Land Transportation Artifact is a Transportation Artifact that facilitates the movement of Agents and Vehicles via land.
https://www.commoncoreontologies.org/ont00000933,Landline Telephone,A Telephone that is connected to a Telephone Network through a pair of wires.,Landline Telephone is a Telephone that is connected to a Telephone Network through a pair of wires.
https://www.commoncoreontologies.org/ont00000167,Large-Scale Rocket Launcher,A Rocket Launcher that is designed to contain multiple Rocket Launchers.,Large-Scale Rocket Launcher is a Rocket Launcher that is designed to contain multiple Rocket Launchers.
https://www.commoncoreontologies.org/ont00001067,Laser,A Material Artifact that is designed to emit light coherently through a process of optical amplification based on the stimulated emission of electromagnetic radiation.,Laser is a Material Artifact that is designed to emit light coherently through a process of optical amplification based on the stimulated emission of electromagnetic radiation.
https://www.commoncoreontologies.org/ont00001321,Lead Acid Electric Battery,A Secondary Cell Electric Battery that has a lead anode and lead oxide cathode.,Lead Acid Electric Battery is a Secondary Cell Electric Battery that has a lead anode and lead oxide cathode.
https://www.commoncoreontologies.org/ont00000600,Legal Artifact Function,A Service Artifact Function that is realized in processes of giving legal advice to clients drafting legal documents for clients and representing clients in legal negotiations and court proceedings such as lawsuits.,Legal Artifact Function is a Service Artifact Function that is realized in processes of giving legal advice to clients drafting legal documents for clients and representing clients in legal negotiations and court proceedings such as lawsuits.
https://www.commoncoreontologies.org/ont00001346,Legal Instrument,"A Material Artifact that is designed as a formally executed written document that can be formally attributed to its author, records and formally expresses a legally enforceable act, process, or contractual duty, obligation, or right, and therefore evidences that act, process, or agreement.","Legal Instrument is a Material Artifact that is designed as a formally executed written document that can be formally attributed to its author, records and formally expresses a legally enforceable act, process, or contractual duty, obligation, or right, and therefore evidences that act, process, or agreement."
https://www.commoncoreontologies.org/ont00000480,Life Support Artifact Function,"An Artifact Function that is realized during events in which an Artifact materially affects an organism, where this causes that organism to continue living in a situation where death would otherwise occur.","Life Support Artifact Function is an Artifact Function that is realized during events in which an Artifact materially affects an organism, where this causes that organism to continue living in a situation where death would otherwise occur."
https://www.commoncoreontologies.org/ont00001211,Lifting Artifact Function,An Artifact Function that is realized by processes in which some Artifact is used to lift some object.,Lifting Artifact Function is an Artifact Function that is realized by processes in which some Artifact is used to lift some object.
https://www.commoncoreontologies.org/ont00000851,Light Machine Gun,"A Long Gun that is designed to fire bullets in quick succession from an ammunition belt or magazine and to be employed by an individual soldier, with or without assistance, and typically weighing 9-22 lbs.","Light Machine Gun is a Long Gun that is designed to fire bullets in quick succession from an ammunition belt or magazine and to be employed by an individual soldier, with or without assistance, and typically weighing 9-22 lbs."
https://www.commoncoreontologies.org/ont00000236,Lighting System,A Material Artifact that is designed to emit light within some area.,Lighting System is a Material Artifact that is designed to emit light within some area.
https://www.commoncoreontologies.org/ont00000158,Lithium-ion Electric Battery,A Secondary Cell Electric Battery that produces electricity when lithium ions move from anode to cathode.,Lithium-ion Electric Battery is a Secondary Cell Electric Battery that produces electricity when lithium ions move from anode to cathode.
https://www.commoncoreontologies.org/ont00000775,Locomotive,A Rail Transport Vehicle that is designed to provide the motive power for a Train.,Locomotive is a Rail Transport Vehicle that is designed to provide the motive power for a Train.
https://www.commoncoreontologies.org/ont00001104,Long Gun,A Firearm that is designed to have a longer barrel than a Hand Gun and to be fired while braced against the shoulder.,Long Gun is a Firearm that is designed to have a longer barrel than a Hand Gun and to be fired while braced against the shoulder.
https://www.commoncoreontologies.org/ont00000767,Lubrication System,"A Material Artifact that is designed to contain, transfer, and regulate the flow of lubricant to multiple locations in an Artifact.","Lubrication System is a Material Artifact that is designed to contain, transfer, and regulate the flow of lubricant to multiple locations in an Artifact."
https://www.commoncoreontologies.org/ont00001370,Machine Bearing,A Material Artifact that is designed to constrain relative motion to only desired motion and reduces friction between moving parts.,Machine Bearing is a Material Artifact that is designed to constrain relative motion to only desired motion and reduces friction between moving parts.
https://www.commoncoreontologies.org/ont00000160,Manual Tool,A Tool that is designed to be powered by manual labor rather than by an engine.,Manual Tool is a Tool that is designed to be powered by manual labor rather than by an engine.
https://www.commoncoreontologies.org/ont00000693,Mass Specification,A Quality Specification that prescribes the Amount of Mass that a Material Entity should have.,Mass Specification is a Quality Specification that prescribes the Amount of Mass that a Material Entity should have.
https://www.commoncoreontologies.org/ont00000995,Material Artifact,A Material Entity that was designed by some Agent to realize a certain Function.,Material Artifact is a Material Entity that was designed by some Agent to realize a certain Function.
